sing_id,artist_name,artist_url,유형,국적,장르,데뷔
90964496,매드클라운(MadClown),https://music.bugs.co.kr/artist/80015461?wl_ref=S_ab_01_02,솔로(남성),대한민국,랩/힙합,2008.0
90964495,매드클라운(MadClown),https://music.bugs.co.kr/artist/80015461?wl_ref=S_ab_01_02,솔로(남성),대한민국,랩/힙합,2008.0
90964493,매드클라운(MadClown),https://music.bugs.co.kr/artist/80015461?wl_ref=S_ab_01_02,솔로(남성),대한민국,랩/힙합,2008.0
90948058,에일리(Ailee),https://music.bugs.co.kr/artist/80120704?wl_ref=S_ab_01_02,솔로(여성),대한민국,"댄스/팝,발라드",2012.0
90595721,FinnAskew,https://music.bugs.co.kr/artist/80335499?wl_ref=S_ab_01_02,,,"랩/힙합,팝",
90980585,골든차일드,https://music.bugs.co.kr/artist/80289387?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2017.0
90980586,골든차일드,https://music.bugs.co.kr/artist/80289387?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2017.0
90980587,골든차일드,https://music.bugs.co.kr/artist/80289387?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2017.0
90656106,김종완ofNELL,https://music.bugs.co.kr/artist/8008378?wl_ref=S_ab_01_02,솔로(남성),대한민국,OST,2001.0
90980789,혁오(HYUKOH),https://music.bugs.co.kr/artist/80204766?wl_ref=S_ab_01_02,그룹(남성),대한민국,"인디,락/메탈",2014.0
90980789,SunsetRollercoaster(落日飛車),https://music.bugs.co.kr/artist/20058978?wl_ref=S_ab_01_02,그룹(남성),대만,"락,월드뮤직",
90986005,규현(KYUHYUN),https://music.bugs.co.kr/artist/80018391?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,2006.0
90980668,위키미키(WekiMeki),https://music.bugs.co.kr/artist/80288478?wl_ref=S_ab_01_02,그룹(여성),대한민국,댄스/팝,2017.0
90964131,다이나믹듀오,https://music.bugs.co.kr/artist/65291?wl_ref=S_ab_01_02,듀오(남성),대한민국,랩/힙합,2004.0
90964131,핫펠트(HA:TFELT),https://music.bugs.co.kr/artist/80022184?wl_ref=S_ab_01_02,솔로(여성),대한민국,"댄스/팝,알앤비/소울",2007.0
90964131,선재(snzae),https://music.bugs.co.kr/artist/20035133?wl_ref=S_ab_01_02,솔로(남성),대한민국,"랩/힙합,알앤비/소울",
